table,shard,column,n_na
gilbert_meta_86,item_response_warehouse,cov_educ,1320
gilbert_meta_86,item_response_warehouse,cov_male,1305
gilbert_meta_86,item_response_warehouse,cov_age,150
gilbert_meta_87,item_response_warehouse,cov_asian,1056
gilbert_meta_87,item_response_warehouse,cov_black,1056
gilbert_meta_87,item_response_warehouse,cov_hispanic,1056
gilbert_meta_87,item_response_warehouse,cov_middle_eastern,1056
gilbert_meta_87,item_response_warehouse,cov_native,1056
gilbert_meta_87,item_response_warehouse,cov_white,1056
gilbert_meta_87,item_response_warehouse,cov_multiracial,1056
gilbert_meta_87,item_response_warehouse,cov_educ,968
gilbert_meta_87,item_response_warehouse,cov_male,957
gilbert_meta_87,item_response_warehouse,cov_age,110
hpwt_bayona_2025_jobsatisfaction,item_response_warehouse,cov_education,55
hpwt_bayona_2025_jobsatisfaction,item_response_warehouse,cov_age,25
hpwt_bayona_2025_workcharacteristics,item_response_warehouse,cov_education,847
hpwt_bayona_2025_workcharacteristics,item_response_warehouse,cov_age,385
humor_styles,item_response_warehouse,age,128
identity_fusion_gomez_2025,item_response_warehouse_2,wave,37059
identity_fusion_gomez_2025,item_response_warehouse_2,treat,26988
identity_fusion_gomez_2025,item_response_warehouse_2,cov_age,106
lys_2020_rape_3_asi,item_response_warehouse,cov_field_cat,396
lys_2020_rape_3_asi,item_response_warehouse,cov_gender,66
lys_2020_rape_3_asi,item_response_warehouse,cov_age,66
lys_2020_rape_3_asi,item_response_warehouse,cov_field,22
mbft_anunciacao_2024,item_response_warehouse,cov_age,465
mhscdc_fried_2020_dass,item_response_warehouse,cov_MentalHealth,168
mhscdc_fried_2020_ema,item_response_warehouse,date,1350
mhscdc_fried_2020_ema,item_response_warehouse,wave,1332
mhscdc_fried_2020_loneliness,item_response_warehouse,cov_MentalHealth,40
mhscdc_fried_2020_procrastination,item_response_warehouse,cov_MentalHealth,40
mhscdc_fried_2020_tired,item_response_warehouse,cov_MentalHealth,72
much_tte_2025_concentrationtask,item_response_warehouse,resp_raw,1
much_tte_2025_matrixreasoning,item_response_warehouse,resp_raw,143
musifeast17_vanderwalle_2025,item_response_warehouse_2,date,425
nature_relatedness,item_response_warehouse,rt,39572
nit_must_2014,item_response_warehouse_2,cov_age,852
nonverbal_immediacy,item_response_warehouse,rt,3948486
opentsstvr_linnig_2025_vas,item_response_warehouse_2,cov_VR_frequency,5047
opentsstvr_linnig_2025_vas,item_response_warehouse_2,cov_order,2450
opentsstvr_linnig_2025_vas,item_response_warehouse_2,cov_VR_experience,2352
opentsstvr_linnig_2025_vrexperience,item_response_warehouse_2,cov_VR_frequency,1957
opentsstvr_linnig_2025_vrexperience,item_response_warehouse_2,cov_order,950
opentsstvr_linnig_2025_vrexperience,item_response_warehouse_2,cov_VR_experience,912
paampsmartsud_saba_2023_amps,item_response_warehouse,cov_NUMBER_MH_DIAGNOSES,180
paampsmartsud_saba_2023_amps,item_response_warehouse,cov_AUD_SUD_DIAGNOSES,180
paampsmartsud_saba_2023_ders,item_response_warehouse,cov_NUMBER_MH_DIAGNOSES,222
paampsmartsud_saba_2023_ders,item_response_warehouse,cov_AUD_SUD_DIAGNOSES,222
paampsmartsud_saba_2023_ffmq,item_response_warehouse,cov_NUMBER_MH_DIAGNOSES,144
paampsmartsud_saba_2023_ffmq,item_response_warehouse,cov_AUD_SUD_DIAGNOSES,144
paampsmartsud_saba_2023_pacs,item_response_warehouse,cov_NUMBER_MH_DIAGNOSES,30
paampsmartsud_saba_2023_pacs,item_response_warehouse,cov_AUD_SUD_DIAGNOSES,30
paampsmartsud_saba_2023_pss,item_response_warehouse,cov_NUMBER_MH_DIAGNOSES,60
paampsmartsud_saba_2023_pss,item_response_warehouse,cov_AUD_SUD_DIAGNOSES,60
pechorro_impulsivity_2021_ypitris,item_response_warehouse,cov_age,42
pezzuti_2025_coolpeople_adventurous,item_response_warehouse_2,cov_study,15888
pezzuti_2025_coolpeople_adventurous,item_response_warehouse_2,cov_individualism,6736
pezzuti_2025_coolpeople_adventurous,item_response_warehouse_2,cov_powerdistance,6736
pezzuti_2025_coolpeople_adventurous,item_response_warehouse_2,cov_hdi,6736
pezzuti_2025_coolpeople_adventurous,item_response_warehouse_2,cov_country,6736
